Phrase,,Numeral Token,,Hexadecimal,,Binary
,,,,,,
hi,,[3686],,[E66],,[111001100110]
,,,,,,
:,,[25],,[19],,[11001]
,,,,,,
generate file,,"[36386, 1974] ",,"[8E22, 7B6] ",,"[1000111000100010, 11110110110]"
,,,,,,
add this file:,,"[964, 495, 1974, 25]",,"[3C4, 1EF, 7B6, 19]",,"[1111000100, 111101111, 111101111, 11001]"
,,,,,,
remove this file:,,"[4942, 495, 1974, 25]",,"[134E, 1EF, 7B6, 19]",,"[1001101001110, 111101111, 111101111, 11001]"
,,,,,,
list files,,"[2641, 6291]",,"[A51, 1893]",,"[101001010001, 1100010010011]"
,,,,,,
compile project,,"[42925, 2993]",,"[A7AD, BB1]",,"[1010011110101101, 101110110001]"
,,,,,,
run test,,"[12935, 1746]",,"[3287, 6D2]",,"11001010000111, 11011010010"
,,,,,,
deploy,,[103437],,[1940D],,[11001010000001101]
,,,,,,
show log:,,"[5526, 2142, 25]",,"[1596, 85E, 19]",,"[1010110010110, 100001011110, 11001]"
,,,,,,
create folder,,"[2537, 15610, 25]",,"[9E9, 3CFA,  19]",,"[100111101001, 11110011111010, 11001]"
,,,,,,
(),,[416],,[1A0],,[110100000]
,,,,,,
enumerate,,"[90985, 379]",,"[16369, 17B]",,"[10110001101101001, 101111011 ]"
,,,,,,
find,,[655],,[28F],,[1010001111]
,,,,,,
next,,[7311],,[1C8F],,[1110010001111]
,,,,,,
previous ,,[31068],,[795C],,[111100101011100]
,,,,,,
close,,[8722],,[2212],,[10001000010010]
,,,,,,
open,,[3843],,[F03],,[111100000011]
,,,,,,
array,,[3361],,[D21],,[110100100001]
,,,,,,
boolean,,[11141],,[2B85],,[10101110000101]
,,,,,,
integer,,[27378],,[6AF2],,[110101011110010]
,,,,,,
number,,[8096],,[1FA0],,[1111110100000]
,,,,,,
plus,,[11601],,[2D51],,[10110101010001]
,,,,,,
minus,,[80991],,[13C5F],,[10011110001011111]
,,,,,,
divide,,[128988],,[1F7DC],,[11111011111011100]
,,,,,,
multiply,,[134147],,[20C03],,[100000110000000011]
,,,,,,
function,,[2706],,[A92],,[101010010010]
,,,,,,
create ,,[2537],,[9E9],,[100111101001]
,,,,,,
send,,[11370],,[2C6A],,[10110001101010]
,,,,,,
receive,,"[9285, 3703]",,[2445],,[10010001000101]
,,,,,,
data,,[1074],,[432],,[10000110010]
,,,,,,
insert,,[14813],,[39DD],,[11100111011101]
,,,,,,
then,,[6273],,[1881],,[1100010000001]
,,,,,,
the,,[3086],,[C0E],,[110000001110]
,,,,,,
after,,[13181],,[337D],,[11001101111101]
,,,,,,
before,,[29615],,[73AF],,[111001110101111]
,,,,,,
during,,[153789],,[258BD],,[100101100010111101]
,,,,,,
while,,[7032],,[1B78],,[1101101111000]
,,,,,,
not,,[2878],,B3E,,[101100111110]
,,,,,,
cancel,,[36263],,[8DA7],,[1000110110100111]
,,,,,,
sleep,,[58978],,[E662],,[1110011001100010]
,,,,,,
upload,,[11292],,[2C1C],,[10110000011100]
,,,,,,
download,,[24220],,[5E9C],,[101111010011100]
,,,,,,
format,,[4078],,[FEE],,[111111101110]
,,,,,,
pipe to,,"[28017, 316]",,"[6D71, 13C]",,"[110110101110001, 100111100]"
,,,,,,
a,,[64],,[40],,[1000000]
,,,,,,
an,,[270],,[10E],,[100001110]
,,,,,,
provide,,[135542],,[21176],,[100001000101110110]
,,,,,,
please,,[48576],,[BDC0],,[1011110111000000]
,,,,,,
take in,,"[45924, 306]",,"[B364, 132]",,"[1011001101100100, 100110010]"
,,,,,,
permission,,[46099],,[B413],,[1011010000010011]
,,,,,,
level,,[6164],,[1814],,[1100000010100]
,,,,,,
shutdown,,[141112],,[3720],,[11011100100000]
,,,,,,
check,,[3416],,[D58],,[110101011000]
,,,,,,
again,,[71072],,[115A0],,[10001010110100000]
,,,,,,
search,,"[2624, 198]",,"[A40, C6]",,"[101001000000, 11000110]"
,,,,,,
for,,[1938],,[792],,[11110010010]
,,,,,,
address,,[6104],,[17D8],,[1011111011000]
,,,,,,
network,,[26724],,[6864],,[110100001100100]
,,,,,,
ping,,[20503],,[5017],,[101000000010111]
,,,,,,
random,,[22568],,[5828],,[101100000101000]
,,,,,,
generate,,[36386],,[8E22],,[1000111000100010]
,,,,,,
wave,,[55278],,[D7EE],,[1101011111101110]
,,,,,,
frequency,,[94799],,[1724F],,[10111001001001111]
,,,,,,
amplitude,,"[313, 52423]",,"[139, CCC7]",,"[100111001, 1100110011000111]"
,,,,,,
phase,,[39598],,[9AAE],,[1001101010101110]
 ,,,,,,
input,,[2586],,[A1A],,[101000011010]
,,,,,,
output,,[6130],,[17F2],,[1011111110010]
,,,,,,
discrete ,,"[4220, 12252]",,"[107C, 2FDC]",,"[10111111011100,1000001111100]"
,,,,,,
analog,,[131773],,[202BD],,[100000001010111101]
,,,,,,
import,,[561],,[231],,[1000110001]
,,,,,,
export,,[2474],,[9AA],,[100110101010]
,,,,,,
sound,,[59038],,[E69E],,[1110011010011110]
,,,,,,
image,,[3365],,[D25],,[110100100101]
,,,,,,
touch,,[47206],,[B866],,[1011100001100110]
,,,,,,
fix,,[11853],,[2E4D],,[10111001001101]
,,,,,,
update,,[4076],,[FEC],,[111111101100]
,,,,,,
upgrade,,[90294],,[160B6],,[10110000010110110]
,,,,,,
move,,[16366],,[3FEE],,[11111111101110]
,,,,,,
python,,[29010],,[7152],,[111000101010010]
,,,,,,
C,,[34],,[22],,[100010]
,,,,,,
++,,[1748],,[6CA],,[11011001010]
,,,,,,
java,,[12996],,[32C4],,[11001011000100]
,,,,,,
javascript,,[33086],,[813E],,[1000000100111110]
,,,,,,
css,,[11738],,[2DDA],,[10110111011010]
,,,,,,
html,,[2854],,[B26],,[101100100110]
,,,,,,
http://,,"[2903, 1684]",,"[B57,  694]",,"[101101010111, 11010010100]"
,,,,,,
store,,[8862],,[229E],,[10001010011110]
,,,,,,
execute,,[21458],,[53D2],,[10001010011110]
,,,,,,
domain,,[25106],,[6212],,[110001000010010]
,,,,,,
calculate,,[58453],,[E455],,[1110010001010101]
,,,,,,
configure,,[58856],,[E5E8],,[111010]
,,,,,,
view,,[1282],,[502],,[10100000010]
,,,,,,
average,,[33570],,[8322],,[1000001100100010]
,,,,,,
mean,,[17033],,[4289],,[100001010001001]
,,,,,,
median,,[123362],,[1E1E2],,[11110000111100010]
,,,,,,
distribution,,[169379],,[295A3],,[101001010110100011]
,,,,,,
INFO2,,"[16075, 17]",,"[3ECB, 11]",,"[11111011001011, 10001]"
,,,,,,
instance,,[11357],,[2C5D],,[10110001011101]
,,,,,,
loop,,[14294],,[37D6],,[10110001011101]
,,,,,,
include,,[1981],,[3675],,[111001011011]
,,,,,,
key,,[1898],,[295AD5BD2],,[11101101010]
,,,,,,
username,,[10659],,[29A3],,[10100110100011]
,,,,,,
password,,[7612],,[1DBC],,[1110110111100]
,,,,,,
user,,[1428],,[594],,[1001010010]
,,,,,,
passphrase,,"[9948, 55463]",,"[26DC, 879C7]",,"[10011011011100, 10000111100111000111]"
,,,,,,
seed,,[45692],,[B27C],,[1011001001111100]
,,,,,,
for every,,"[1938, 1753]",,"[792, 6D9]",,"[11110010010, 11011011001]"
,,,,,,
date,,[1319],,[527],,[1000001111]
,,,,,,
